GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
GO:0042059	negative regulation of epidermal growth ...	9	8	5.14	0.0494	1	BP
GO:0061053	somite development	9	8	5.14	0.0494	1	BP
GO:1901185	negative regulation of ERBB signaling pa...	9	8	5.14	0.0494	1	BP
GO:0040008	regulation of growth	75	50	42.87	0.0494	1	BP
GO:0009966	regulation of signal transduction	152	103	86.89	0.0509	1	BP
GO:0022414	reproductive process	145	92	82.89	0.0509	1	BP
GO:0009888	tissue development	145	92	82.89	0.0509	1	BP
GO:0000902	cell morphogenesis	90	59	51.45	0.0524	1	BP
GO:0010647	positive regulation of cell communicatio...	95	62	54.31	0.053	1	BP
GO:0023056	positive regulation of signaling	95	62	54.31	0.053	1	BP
GO:0060271	cilium assembly	24	18	13.72	0.0535	1	BP
GO:0019953	sexual reproduction	105	68	60.02	0.0535	1	BP
GO:0030855	epithelial cell differentiation	59	40	33.73	0.0546	1	BP
GO:0050848	regulation of calcium-mediated signaling	12	10	6.86	0.0557	1	BP
GO:0010675	regulation of cellular carbohydrate meta...	12	10	6.86	0.0557	1	BP
GO:0001649	osteoblast differentiation	12	10	6.86	0.0557	1	BP
GO:0010634	positive regulation of epithelial cell m...	12	10	6.86	0.0557	1	BP
GO:0010970	transport along microtubule	12	10	6.86	0.0557	1	BP
GO:0002573	myeloid leukocyte differentiation	12	10	6.86	0.0557	1	BP
GO:0072080	nephron tubule development	12	10	6.86	0.0557	1	BP
GO:0035282	segmentation	21	16	12	0.0558	1	BP
GO:0009880	embryonic pattern specification	18	14	10.29	0.0574	1	BP
GO:0048762	mesenchymal cell differentiation	15	12	8.57	0.0577	1	BP
GO:0072659	protein localization to plasma membrane	15	12	8.57	0.0577	1	BP
GO:0070542	response to fatty acid	5	5	2.86	0.0604	1	BP
GO:0010811	positive regulation of cell-substrate ad...	5	5	2.86	0.0604	1	BP
GO:0106030	neuron projection fasciculation	5	5	2.86	0.0604	1	BP
GO:0060349	bone morphogenesis	5	5	2.86	0.0604	1	BP
GO:0007413	axonal fasciculation	5	5	2.86	0.0604	1	BP
GO:0031123	RNA 3'-end processing	5	5	2.86	0.0604	1	BP
GO:0031124	mRNA 3'-end processing	5	5	2.86	0.0604	1	BP
GO:0006304	DNA modification	5	5	2.86	0.0604	1	BP
GO:0007638	mechanosensory behavior	5	5	2.86	0.0604	1	BP
GO:0043535	regulation of blood vessel endothelial c...	5	5	2.86	0.0604	1	BP
GO:0036003	positive regulation of transcription fro...	5	5	2.86	0.0604	1	BP
GO:0048010	vascular endothelial growth factor recep...	5	5	2.86	0.0604	1	BP
GO:0048016	inositol phosphate-mediated signaling	5	5	2.86	0.0604	1	BP
GO:0097720	calcineurin-mediated signaling	5	5	2.86	0.0604	1	BP
GO:1905515	non-motile cilium assembly	5	5	2.86	0.0604	1	BP
GO:0033173	calcineurin-NFAT signaling cascade	5	5	2.86	0.0604	1	BP
GO:0048729	tissue morphogenesis	79	52	45.16	0.0616	1	BP
GO:0006887	exocytosis	40	28	22.87	0.0618	1	BP
GO:0006366	transcription by RNA polymerase II	129	82	73.74	0.0619	1	BP
GO:0006357	regulation of transcription by RNA polym...	124	79	70.88	0.0625	1	BP
